,placeId,placeName,linkPlaceId,pinCode,mandalName,latitude,longitude,stateCode,district
6351,238980,HIREDAHAL,238980,515872,D HIREHAL,14.996403,76.838353,AP,ANANTAPURAMU
6352,222600,TOMPALAPADU,222600,535534,KURUPAM,18.8756000,83.7343217,AP,PP MANYAM
6353,238990,YERRAMACHUPALLI,238990,516003,CHINTHAKOMMADINNE,14.480751,78.757814,AP,YSR KADAPA
6354,238988,POLATALA,238988,516216,CHINTHAKOMMADINNE,14.37276,78.67959,AP,YSR KADAPA
6355,238994,KARTHANAPARTHI,238994,515787,KAMBADUR,14.4715420,77.3089230,AP,ANANTAPURAMU
6356,238993,PALYAM,238993,515775,PAMIDI,14.916313,77.472277,AP,ANANTAPURAMU
6357,238999,JOLADARASI,238999,515801,HAGARI,15.137975,77.119977,KA,BALLARY
6358,238998,INDUSTRIAL ESTATE,238998,515803,GUNTAKAL,15.16104,77.39879,AP,ANANTAPURAMU
6359,9621,MUMMIDIVARAM,9621,533216,MUMMIDIVARAM,16.641300,82.102121,AP,KONASEEMA
6360,222613,SEEPANNAYUDUPETA,222613,532005,ETCHERLA,18.32119,83.87929,AP,SRIKAKULAM
6361,238996,Y.C.PALLI,238996,515787,KAMBADUR,14.49443,77.26444,AP,ANANTAPURAMU
6362,222619,AMBAPURAM CROSS,222619,515871,BOMMANAHAL,14.871478,76.991355,AP,ANANTAPURAMU
6363,239003,GONDERLA,239003,515803,GUNTAKAL,15.15900308,77.47616094,AP,ANANTAPURAMU
6364,1668819052864,KUDUMULAPADU,1668819052864,507301,ASWARAOPETA,17.46664,81.12384,AP,BHADRADRI KOTHAGUDEM
6365,1645166964596,K GOKAVARAM,1645166964596,534452,ELURU,16.9747,81.06791,AP,ELURU
6366,222623,MULAPETA,222623,533448,KOTHAPALLI,17.113034,82.355699,AP,KAKINADA
6367,239007,KOMMALURU,239007,516203,KHAJIPET,14.610860,78.724710,AP,YSR KADAPA
6368,1668514488111,MILE STONE-UPPUGUNDURU,1668514488111,523186,NAGULUPPALAPADU,,,AP,PRAKASAM
6369,239005,NERIMETLA,239005,515812,URAVAKONDA,14.928721,77.167911,AP,ANANTAPURAMU
6370,239004,BUDHAGAVI,239004,515812,VIDAPANAKAL,14.951150,77.239430,AP,ANANTAPURAMU
6371,239010,C POLIMERAPALLI,239010,516214,CHINNAMANDEM,13.903329,78.711966,AP,ANNAMAYYA
6372,239008,MIDUTHUR,239008,516203,KHAJIPET,15.77272,78.29096,AP,YSR KADAPA
6373,1669255824193,K.M.STONE,1669255824193,518543,ALLAGADDA,15.41744,77.22938,AP,NANDYAL
6374,239015,NANDI PALLI,239015,516502,BADVEL,14.72103,79.008,AP,YSR KADAPA
